"phone";"Phone"
"enter.printer.line.width.mandatory";"Enter printer line width *"
"reset";"Reset"
"print.gift.receipt";"Print Gift Receipt"
"card.amount";"Credit Card Amount"
"Choose a vendor!";"Choose a vendor!"
"card";"Card"
"discount.amount.cannot.be.negative";"Discount Amount cannot be negative!"
"refund";"Refund"
"split.line";"Split Line"
"amount.tendered.more";"Amount tendered is more"
"split.order";"Split Order"
"popup.card.amount";"Card Amount:"
"popup.card.holder.name";"Card Holder Name:"
"gender";"Gender"
"popup.street.address";"Street Address:"
"COMMENTS";"COMMENTS"
"new.customer";"New Customer"
"Cash";"Cash"
"select.user";"Select User"
"popup.voucher.amount";"Voucher Amount:"
"issue.gift.card";"Issue Gift Card"
"copy";"COPY"
"Cart is empty!";"Cart is empty!"
"popup.email";"Email:"
"Choose a customer!";"Choose a customer!"
"more";"More"
"COPY";"COPY"
"please.wait.while.system.is.being.synchronized";"Please wait while the system is being synchronized."
"help";"Help"
"primary.group";"Primary Group"
"popup.order.no";"Order no:"
"failed.to.validate.cash.amount";"Failed to validate cash amount!"
"enter.printer.address.mandatory";"Enter printer IP address *"
"amt.due";"Amt Due"
"discount.on.total";"Discount on Total"
"close.date";"Close Date"
"popup.cvv2.mandatory";"CVV2 *:"
"email.is.required";"Email is required!"
"do.you.want.to.continue.and.close.the.till.anyway";"Do you want to continue and close the till anyway?"
"popup.zip.code";"Zip Code:"
"invalid.cheque.number";"Invalid cheque number"
"Tax";"Tax"
"make.new.sale";"Make a New Sale"
"popup.credit.available";"Credit Available:"
"sales";"Sales"
"grand.total";"Grand Total"
"exact.amount";"Exact Amount"
"group8";"Group 8"
"BootstrapDialog.OK";"OK"
"popup.organisation";"Organisation:"
"group7";"Group 7"
"group4";"Group 4"
"group3";"Group 3"
"tax";"Tax"
"group6";"Group 6"
"group5";"Group 5"
"group2";"Group 2"
"group1";"Group 1"
"popup.change.amount";"Change Amount:"
"invalid.voucher.number";"Invalid voucher number"
"order.type";"Order Type:"
"send";"Send"
"popup.dob";"D.O.B"
"popup.swipe.data";"Swipe Data:"
"Vendor is required!";"Vendor is required!"
"payment.voucher";"Payment Voucher"
"payment.amount";"Payment Amount"
"error";"Error!"
"popup.upc";"UPC/EAN:"
"change.amount";"Change Amount:"
"credit.card";"Credit Card"
"product.placeholder";"Barcode, SKU, Name, Description, Groups"
"loyalty.available";"Loyalty Available"
"no.product.found.for.barcode";"No product(s) found for barcode"
"popup.expiry";"Expiry:"
"points.used";"Points Used"
"amount";"Amount"
"quantity";"Quantity"
"amount.tendered";"Amount Tendered"
"clear";"Clear"
"popup.date.issued";"Date Issued"
"terminal";"Terminal"
"Terminal";"Terminal"
"please.enter.valid.document.number";"Please enter a valid document number."
"Voucher";"Voucher"
"has.the.payment.gone.through";"Has the payment gone through?"
"Total";"Total"
"Signature";"Signature"
"user";"User"
"check.no";"Check No"
"drafted";"Drafted"
"load.order";"Load Order"
"customer";"Customer"
