Name,Barcode,C. Code,Supplier,Product Type,Category,Sub Category,Aging,Target,final price,Final PUR,Status
UP004-I,6.97282E+12,23Q5,LA PARAH,PENS,STATIONERY,WRITING INSTRUMENTS,24Q1,KIDS,149,23.99894939,2. Barcode Printed
UP004-H,6.97282E+12,23Q5,LA PARAH,PENS,STATIONERY,WRITING INSTRUMENTS,24Q1,KIDS,149,23.99894939,2. Barcode Printed
UP004-C,6.97282E+12,23Q5,LA PARAH,PENS,STATIONERY,WRITING INSTRUMENTS,24Q1,KIDS,149,23.99894939,2. Barcode Printed
F008364,F008364,23Q5,LA PARAH,BAGS,BAGS & WALLETS,BAGS,24Q1,KIDS,899,236.3532895,2. Barcode Printed
F008365,F008365,23Q5,LA PARAH,BAGS,BAGS & WALLETS,BAGS,24Q1,KIDS,999,236.3532895,2. Barcode Printed
U2077,6.97282E+12,23Q5,LA PARAH,BAGS,BAGS & WALLETS,BAGS,24Q1,KIDS,899,264.7156842,2. Barcode Printed
U2079,6.97282E+12,23Q5,LA PARAH,BAGS,BAGS & WALLETS,BAGS,24Q1,KIDS,999,236.3532895,2. Barcode Printed
U2048,6.97282E+12,23Q5,LA PARAH,STATIONERY SETS,STATIONERY,SETS,24Q1,KIDS,899,196.3550405,2. Barcode Printed
F008326,F008326,23Q5,LA PARAH,STATIONERY SETS,STATIONERY,SETS,24Q1,KIDS,899,196.3550405,2. Barcode Printed
U2051,6.97282E+12,23Q5,LA PARAH,CUPS & MUGS,HOME & LIVING,KITCHEN & DINING,24Q1,,799,171.44704,2. Barcode Printed
FA9346,8.37005E+12,23Q5,LA PARAH,CUPS & MUGS,HOME & LIVING,KITCHEN & DINING,24Q1,,549,200.7184858,2. Barcode Printed
FA9357,8.37005E+12,23Q5,LA PARAH,CUPS & MUGS,HOME & LIVING,KITCHEN & DINING,24Q1,,649,150.5388644,2. Barcode Printed
FA9358,8.37005E+12,23Q5,LA PARAH,CUPS & MUGS,HOME & LIVING,KITCHEN & DINING,24Q1,,699,133.8123239,2. Barcode Printed
F007999,F007999,23Q5,LA PARAH,,,,24Q1,,799,349.0756275,2. Barcode Printed
F008000,F008000,23Q5,LA PARAH,CAMERAS,ELECTRONIC,ELECTRONIC,24Q1,KIDS,1199,349.0756275,2. Barcode Printed
F008001,F008001,23Q5,LA PARAH,EARPHONES,PHONE ACCESSORIES,HEADPHONES AND EARPHONES,24Q1,KIDS,1099,327.2584008,2. Barcode Printed
F008002,F008002,23Q5,LA PARAH,EARPHONES,PHONE ACCESSORIES,HEADPHONES AND EARPHONES,24Q1,KIDS,1499,349.0756275,2. Barcode Printed
F008003,8.60554E+12,23Q5,LA PARAH,EARPHONES,PHONE ACCESSORIES,HEADPHONES AND EARPHONES,24Q1,KIDS,1299,276.3515384,2. Barcode Printed
F008004,2.95732E+11,23Q5,LA PARAH,EARPHONES,PHONE ACCESSORIES,HEADPHONES AND EARPHONES,24Q1,KIDS,1499,399.9824898,2. Barcode Printed
F008005,F008005,23Q5,LA PARAH,FANS PORTABLE,ELECTRONIC,ELECTRONIC,24Q1,KIDS,249,58.17927125,2. Barcode Printed
F008019,F008019,23Q5,LA PARAH,COSMETIC BAGS,BAGS & WALLETS,COSMETIC BAG,24Q1,LADY,599,146.5390395,2. Barcode Printed
F008020,F008020,23Q5,LA PARAH,COSMETIC BAGS,BAGS & WALLETS,COSMETIC BAG,24Q1,LADY,499,155.993171,2. Barcode Printed
F008021,F008021,23Q5,LA PARAH,COSMETIC BAGS,BAGS & WALLETS,COSMETIC BAG,24Q1,LADY,399,130.4670158,2. Barcode Printed
F008022,F008022,23Q5,LA PARAH,COSMETIC BAGS,BAGS & WALLETS,COSMETIC BAG,24Q1,LADY,599,130.4670158,2. Barcode Printed
F008023,F008023,23Q5,LA PARAH,COSMETIC BAGS,BAGS & WALLETS,COSMETIC BAG,24Q1,LADY,449,146.5390395,2. Barcode Printed
F008024,F008024,23Q5,LA PARAH,COSMETIC BAGS,BAGS & WALLETS,COSMETIC BAG,24Q1,LADY,499,155.993171,2. Barcode Printed
F008027,F008027,23Q5,LA PARAH,COSMETIC BAGS,BAGS & WALLETS,COSMETIC BAG,24Q1,LADY,549,130.4670158,2. Barcode Printed
F008028,F008028,23Q5,LA PARAH,COSMETIC BAGS,BAGS & WALLETS,COSMETIC BAG,24Q1,LADY,399,108.7225131,2. Barcode Printed
F008029,F008029,23Q5,LA PARAH,COSMETIC BAGS,BAGS & WALLETS,COSMETIC BAG,24Q1,LADY,179,45.37983157,2. Barcode Printed
23Q5_Q2_7,8205170032352,23Q5,LA PARAH,COSMETIC BAGS,BAGS & WALLETS,COSMETIC BAG,24Q2,LADY,599,130.4670158,2. Barcode Printed
